fid,event_id,geom_ids,survey_dat,survey_d_1,agents,hosts,symptoms,survey_met,trigger_pr,trigger_se,trigger__1,trigger__2,country,silvicultu,sanitary_i,sanitary_1,sanitary_2,pattern_de,pattern_di,pattern_mo,pattern__1,severity_d,severity_1,severity_m,severity_2,is_affecte,dataset_co,SURVEYSTA
570,20176,41396,2016-10-11,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-11
571,20177,41397,2016-10-11,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-11
572,20178,41398,2016-10-11,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-11
573,20179,41399,2016-10-11,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-11
574,20180,41400,2016-10-18,exact,Bursaphelenchus sexdentati,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
575,20181,41401,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
576,20182,41402,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
577,20183,41403,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
578,20184,41404,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
579,20185,41405,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
580,20186,41406,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
581,20187,41407,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
582,20188,41408,2016-10-18,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
583,20189,41409,2016-10-18,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
584,20190,41410,2016-10-18,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-18
585,20191,41411,2016-10-25,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-25
586,20192,41412,2016-10-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-25
587,20193,41413,2016-10-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-25
588,20194,41414,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
589,20195,41415,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
590,20196,41416,2016-10-26,exact,Bursaphelenchus sexdentati,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
591,20197,41417,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
592,20198,41418,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
593,20199,41419,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
594,20200,41420,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
595,20201,41421,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
596,20202,41422,2016-10-26,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-10-26
597,20203,41423,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
598,20204,41424,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
599,20205,41425,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
600,20206,41426,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
601,20207,41427,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
602,20208,41428,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
603,20209,41429,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
604,20210,41430,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
605,20211,41431,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
606,20212,41432,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
607,20213,41433,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
608,20214,41434,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
609,20215,41435,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
610,20216,41436,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
611,20217,41437,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
612,20218,41438,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
613,20219,41439,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
614,20220,41440,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
615,20221,41441,2016-11-04,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
616,20222,41442,2016-11-04,exact,"Bursaphelenchus hellenicus,Bursaphelenchus leoni,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-04
617,20223,41443,2016-11-08,exact,,Pinus nigra,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
618,20224,41444,2016-11-08,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
619,20225,41445,2016-11-08,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
620,20226,41446,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
621,20227,41447,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
622,20228,41448,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
623,20229,41449,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
624,20230,41450,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
625,20231,41451,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
626,20232,41452,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
627,20233,41453,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
628,20234,41454,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
629,20235,41455,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
630,20236,41456,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
631,20237,41457,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
632,20238,41458,2016-11-08,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-08
633,20239,41459,2016-11-10,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-10
634,20240,41460,2016-11-10,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-10
635,20241,41461,2016-11-10,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-10
636,20242,41462,2016-11-10,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-10
637,20243,41463,2016-11-15,exact,"Bursaphelenchus minutus,Bursaphelenchus sexdentati",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
638,20244,41464,2016-11-15,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
639,20245,41465,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
640,20246,41466,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
641,20247,41467,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
642,20248,41468,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
643,20249,41469,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
644,20250,41470,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
645,20251,41471,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
646,20252,41472,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
647,20253,41473,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
648,20254,41474,2016-11-15,exact,,Pinus radiata,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
649,20255,41475,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
650,20256,41476,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
651,20257,41477,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
652,20258,41478,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
653,20259,41479,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
654,20260,41480,2016-11-15,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
655,20261,41481,2016-11-15,exact,"Bursaphelenchus minutus,Bursaphelenchus sexdentati",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
656,20262,41482,2016-11-15,exact,Bursaphelenchus minutus,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
657,20263,41483,2016-11-15,exact,"Bursaphelenchus leoni,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-15
658,20264,41484,2016-11-22,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-22
659,20265,41485,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
660,20266,41486,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
661,20267,41487,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
662,20268,41488,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
663,20269,41489,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
664,20270,41490,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
665,20271,41491,2016-11-23,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
666,20272,41492,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
667,20273,41493,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
668,20274,41494,2016-11-23,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-23
669,20275,41495,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
670,20276,41496,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
671,20277,41497,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
672,20278,41498,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
673,20279,41499,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
674,20280,41500,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
675,20281,41501,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
676,20282,41502,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
677,20283,41503,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
678,20284,41504,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
679,20285,41505,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
680,20286,41506,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
681,20287,41507,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
682,20288,41508,2016-11-25,exact,Bursaphelenchus minutus,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
683,20289,41509,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
684,20290,41510,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
685,20291,41511,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
686,20292,41512,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
687,20293,41513,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
688,20294,41514,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
689,20295,41515,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
690,20296,41516,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
691,20297,41517,2016-11-25,exact,,Pinus pinea,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
692,20298,41518,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
693,20299,41519,2016-11-25,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
694,20300,41520,2016-11-25,exact,"Bursaphelenchus leoni,Bursaphelenchus minutus",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,,,1,IT-001,2016-11-25
695,20301,41521,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
696,20302,41522,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
697,20303,41523,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
698,20304,41524,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
699,20305,41525,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
700,20306,41526,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
701,20307,41527,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
702,20308,41528,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
703,20309,41529,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
704,20310,41530,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,3.0,,1,IT-001,2017-06-30
705,20311,41531,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
706,20312,41532,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
707,20313,41533,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
708,20314,41534,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
709,20315,41535,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
710,20316,41536,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
711,20317,41537,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
712,20318,41538,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
713,20319,41539,2017-06-30,exact,"Bursaphelenchus teratospicularis,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
714,20320,41540,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
715,20321,41541,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
716,20322,41542,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
717,20323,41543,2017-06-30,exact,Cerambycidae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,3.0,,1,IT-001,2017-06-30
718,20324,41544,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
719,20325,41545,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,4.0,,1,IT-001,2017-06-30
720,20326,41546,2017-06-30,exact,Cerambycidae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
721,20327,41547,2017-06-30,exact,"Cerambycidae,Scolytinae",Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
722,20328,41548,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
723,20329,41549,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
724,20330,41550,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
725,20331,41551,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
726,20332,41552,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
727,20333,41553,2017-06-30,exact,Bursaphelenchus leoni,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
728,20334,41554,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
729,20335,41555,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
730,20336,41556,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,4.0,,1,IT-001,2017-06-30
731,20337,41557,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,3.0,,1,IT-001,2017-06-30
732,20338,41558,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
733,20339,41559,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
734,20340,41560,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
735,20341,41561,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
736,20342,41562,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
737,20343,41563,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
738,20344,41564,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
739,20345,41565,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
740,20346,41566,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
741,20347,41567,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
742,20348,41568,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
743,20349,41569,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,4.0,,1,IT-001,2017-06-30
744,20350,41570,2017-06-30,exact,unknown insects,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
745,20351,41571,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
746,20352,41572,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
747,20353,41573,2017-06-30,exact,Scolytinae,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
748,20354,41574,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,1.0,,1,IT-001,2017-06-30
749,20355,41575,2017-06-30,exact,,Pinus pinaster,Mortality,Field surveys,,,,,Italy,,,,,,,,,,,2.0,,1,IT-001,2017-06-30
